artista,nombre,ironhacker,letra
La Fúmiga,Mediterrània,1183037273,"[Intro]
Ricky Racks

[Chorus: Offset]
That's a groupie, bye, bitch
Copped the coupe, that's my bitch
We got sticks, we pop shit
Look at these diamonds bitin'
Freakazoid chain on lightnin'
Weddin' band rings ain't wife shit, uh
Nigga we'll bomb shit, ISIS
.47 at the end, where the knife is
Brick and a half, where the pipe is, uh
Jetway, runway with the big face
SK, gunplay, get a temp' fade
Migo gang, Nawfside, yeah, the gang way (Offset)

[Verse 1: Offset]
I gotta tell the truth, I was expected to lose, I had to pay my dues, yeah
All of these chains on me, I brought the gang with me
Put on the plain Philippe, yeah, pop that seal, hop off on a Lear
How I feel, my mama wrist on trill
Watch your daughter before she disappear
'Cause I'm her father, I take care all my kids
Splurge on 'em, look at them curbs on 'em
Swerve the corners, she callin' it spur of the moment
Packin' the shit, packin' the, packin' the dick in the bitch
Oh, that is your bitch, I do not wanna just hit on her, leave
You niggas be talkin' like bitches, it's pitiful, pitiful, makin' me sick
We pull out these choppers, start poppin', need critical, critter not makin' it's trip
I wrap up a brick like a gift and I send it delivered
Oh, you gotta survive, you lie, you live in the field
No, no nigga alive can scare me, God is my shield
Rode around the Nawfside givin' out hundreds of bills
Some of my soldiers ain't survive, I never thought niggas be killed
Look at my shows, my fans are live, the thrill is givin' me chills

[Chorus: Offset & Travis Scott]
That's a groupie, bye, bitch
Copped the coupe, that's my bitch
We got sticks, we pop shit
Look at these diamonds bitin'
Freakazoid chain on lightnin'
Weddin' band rings ain't wife shit, uh
Nigga we'll bomb shit, ISIS
.47 at the end, where the knife is
Brick and a half, where the pipe is, uh
Jetway, runway with the big face
SK, gunplay, get a temp' fade
Migo gang, Nawfside, yeah, the gang way (Yeah)

[Verse 2: Travis Scott & Offset]
On the road, chocolate thunder, big rocks, royal rumble, turned her out to a runner, yeah (Alright)
Jumpin' out of the jungle, bring 'em in by the bundles, goin' in for the summer, hey
Wallet change like the cash
.40 clip, make you do the forty-yard dash (Pew-pew)
Don't you hold nothin' back (Alright)
Rubber band, pop it, make you pop the whole ass, yeah
Make me relocate (Straight up), told me, ""Do not play"", I do
Sonic wildin' (Yeah), time to dive in (Yeah)
Backyard of the woods, gotta drive in
Butterfly, the doors and you dive in

[Chorus: Offset]
That's a groupie, bye, bitch
Copped the coupe, that's my bitch
We got sticks, we pop shit
Look at these diamonds bitin'
Freakazoid chain on lightnin'
Weddin' band rings ain't wife shit, uh
Nigga we'll bomb shit, ISIS
.47 at the end, where the knife is
Brick and a half, where the pipe is, uh
Jetway, runway with the big face
SK, gunplay, get a temp' fade
Migo gang, Nawfside, yeah, the gang way (Offset)"
Marvin Gaye,Sexual Healing,javiercabrera9627,"[Intro]
Get up, get up, get up, get up
Wake up, wake up, wake up, wake up

Ooh baby, now let's get down tonight

[Verse 1]
Baby I'm hot just like an oven
I need some lovin'
And baby, I can't hold it much longer
It's getting stronger and stronger

[Chorus]
And when I get that feeling
I want sexual healing
Sexual healing, oh baby
Makes me feel so fine
Helps to relieve my mind
Sexual healing baby, is good for me
Sexual healing is something that's good for me

[Verse 2]
Whenever blue tear drops are falling
And my emotional stability is leaving me
There is something I can do
I can get on the telephone and call you up baby, and
Honey I know you'll be there to relieve me
The love you give to me will free me
If you don't know the thing you're dealing
Oh I can tell you, darling, that it's sexual healing

(Get up, Get up, Get up, Get up)
Let's make love tonight
(Wake up, Wake up, Wake up, Wake up)
'Cause you do it right

[Bridge]
Baby I got sick this morning
A sea was storming inside of me
Baby I think I'm capsizing
The waves are rising and rising

[Chorus]
And when I get that feeling
I want sexual healing
Sexual healing is good for me
Makes me feel so fine, it's such a rush
Helps to relieve the mind, and it's good for us
Sexual healing, baby, it's good for me
Sexual healing is something that's good for me
And it's good for me and it's so good to me
My baby
Ohhh

[Verse 3]
Come take control, just grab a hold
Of my body and mind soon we'll be making it
Honey, oh we're feeling fine
You're my medicine open up and let me in
Darling, you're so great
I can't wait for you to operate

(Get up, Get up, Get up, Get up)
Let's make love tonight
(Wake up, Wake up, Wake up, Wake up)
'Cause you do it right

(Heal me my darling)
I can't wait for you to operate

[Chorus]
When I get this feeling
I need sexual healing
Oh when I get this feeling
I need sexual healing
I gotta have sexual healing, darling
'Cause I'm all alone
Sexual healing, darling
'Till you come back home

Please don't procrastinate
It's not good to masturbate"
Alabama Shakes,Gimme All Your Love,entzo,"[Verse 1]
So much is going on
But you can always come around
Why don't you sit with me, for just a little while?
Tell me, what's wrong?

[Chorus]
If you'd just give me all your love
Gimme all you got, baby
Gimme all your love
Stick 'em up

[Verse 2]
So, tell me what you wanna do
You say, the world, it doesn't fit with you
Why don't you talk to me, for just a little while?
I can only try to make it right

[Chorus]
If you'd just give me all your love
Gimme all you got, babe
Gimme all your love

[Bridge]

[Guitar Solo]
[Outro]
Gimme all your love
Gimme all you got, baby
Just gimme all your love"
Fugees,How Many Mics,pecmusasana,"[Intro: Wyclef Jean]
Pick up your microphones, ha-ha
Pick up your microphones, yo

[Chorus: Wyclef Jean, Wyclef Jean & Lauryn Hill]
How many mics do we rip on the daily?
Say, me say many, money, say, me say many, many, many
How many mics do we rip on the daily?
Many, money, say, me say many, many, many

[Verse 1: Lauryn Hill]
I get mad frustrated when I rhyme
Thinkin' of all them kids that try to do this for all the wrong reasons
Seasons change, mad things rearrange
But it all stays the same like the love doctor, strange
I'm tame like the rapper, get red like a snapper when they do that
Got your whole block saying ""True dat""
If only they knew that it was you who was irregular
Sold your soul for some secular muzak that's wack
Plus you use that loop over and over
Claiming that you got a new style, your attempts are futile
Ooh, child, you puerile, brain waves are sterile
You can't create, you just wait to take my tapes (Bing)
Laced with malice, hands get calloused
From gripping microphones from here to Dallas
Go ask Alice if you don't believe me, I get in her visions like Stevie
See me ascend from the chalice like the weed be
Indeed we like Khalid Muhammad, MCs make me vomit
I get controversial, freak your style with no rehearsal
Au contraire mon frère, don't you even go there
Me without a mic is like a beat without a snare
I dare to tear into your ego
We go way back like some ganja and pelequo
Or ColecoVision, my rhymes make incisions in your anatomy
And I'll back this with Deuteronomy
Or Leviticus, God made this word, you can't get with this
Sweet like licorice, dangerous like syphilis, yeah

[Chorus: Wyclef Jean, Wyclef Jean & Lauryn Hill]
How many mics do we rip on the daily?
Many, money, say, me say many, many, many
How many mics do I rip on the daily?
Many, money, say, me say many, many, many
How many mics do you rip on the daily?
Many, money, say, me say many, many, many
How many mics do we rip on the daily?
Many, money, say, me say many, many, many

[Verse 2: Wyclef Jean]
I used to be underrated, now I take iron
Makes my shit constipated, I'm more concentrated
So on my day off, with David Sonenberg I play golf
Run through Crown Heights screaming out, ""Mazel tov!""
Problem with no man, before Black, I'm first human
Appetite to write like Frederick Douglass with a slave hand (Bing)
Street pressure, word to papa, I ain't goin' under
One day I'll have a label and make deals with Tommy Mottola
Mama always told me, ""You're one in a million""
Always watch your back, never tangle with Haitian Sicilians
Now I got a record deal, ""How does it feel?""
I'm never gonna survive unless I get crazy like Seal
'Cause the whole world's out of order
So at night, the fiends dance on grease with John Travolta
One got slaughtered as he coughed blood from his mouth
The other tried to duck and caught a left with my Guinness Stout
Brother, brother, can't you get this through your head?
This is set up by the feds, they're scoping us with their infrareds

[Chorus: Wyclef Jean, Wyclef Jean & Lauryn Hill]
How many mics do you rip on the daily?
Many, money, say, me say many, many, many
How many mics do I rip on the daily?
Many, money, say, me say many, many, many
How many mics do we rip on the daily?
Many, money, say, me say many, many, many

[Verse 3: Pras]
Too many MCs, not enough mics
Exit your show like I exit the turnpike
Dice and dynamite like Dolemite
Double-deuce delight, I don't Dick Van Dyke
Star light to star bright, the freaks come out at night
Like my man Wyclef (I wear my sunglasses at night)
And my panache will mosh your entourage
Squash the squad and hide their bodies under my garage
And when the cops come lookin, I be bookin' to Brooklyn
Leave the trails broken, flippin' tokens to Hoboken
A clean getaway like Alec Baldwin
Driving in my fast car playing Tracy Chapman

[Chorus: Wyclef Jean & Lauryn Hill]
How many mics do we rip on the daily?
Say, me say many, money, say, me say many, many, many
How many mics do you rip on the daily?
Many, money, say, me say many, many, many
How many mics do we rip on the daily?
Many, money, say, me say many, many, many
How many mics do I rip on the daily?
Many, money, say, me say many, many, many

[Outro: Wyclef Jean]
Many, many, money, many, many, many
Many, many, money, many, many, many

[Interlude]
Yo, as I was sayin', look
Yo, yo, hold up kid, hol' up, hol' up (Yo, man)
Yo, ready or not, kid (Yo, yo, I gotta tell you somethin', man)
They gon' move on us (If they do, but, yo)
And we gotta get prepared
We gotta get the forces together, man (I gotta do what I gotta do, man)
We gotta get our family together (I'ma haul ass down to Mexico, yo)
Ready or not, man (Word is born)
Ready or not they gon' move on us
So I tell you what, better safe than sorry
Let's be ready"
alt-J,Deadcrush (feat. Danny Brown) - The Alchemist x Trooko Version,capitan_z,
Kase.O,Ringui Dingui (con SFDK),capitan_z,
Arctic Monkeys,Dancing Shoes,javiercabrera9627,"[Verse 1]
Get on your dancing shoes
There's one thing on your mind
Hoping they're looking for you
Sure you'll be rummaging through
Oh and the shit, shock, horror
You've seen your future bride
Yeah, but it's oh so absurd
For you to say the first word
So you're waiting and waiting and

[Chorus]
The only reason that you came
So what you scared for?
Well, don't you always do the same?
It's what you're there for, don't you know?

[Verse 2]
The lights are flashing
Down in here tonight
And some might exchange a glance
But keep pretending to dance
Don't act like it's not happening
As if it's impolite
To go and mention your name
Instead you'll just do the same as they all do
And hope for the best
[Chorus]
The only reason that you came
So what you scared for?
Well, don't you always do the same?
It's what you’re there for, but no

[Instrumental Break]

[Verse 3]
Get on your dancing shoes
You sexy little swine
Hoping they're looking for you
Sure you'll be rummaging through
I said, the shit, shock, horror
You've seen your future bride, yeah
Yeah, but it's oh so absurd
For you to say the first word
So you're waiting and waiting"
Cage The Elephant,Ain't No Rest For The Wicked - Original Version,javiercabrera9627,
The White Stripes,Fell In Love With a Girl,javiercabrera9627,
Kendrick Lamar,LOVE. FEAT. ZACARI.,javiercabrera9627,
Michael Kiwanuka,Cold Little Heart - Radio Edit,11124266126,
Daði Freyr,Think About Things,1183037273,"[Intro]
Baby, I can't wait to know
Believe me, I'll always be there, so

[Verse 1]
Though I know I love you
I find it hard to see how you feel about me
'Cause I don't understand you
Oh, you are yet to learn how to speak
When we first met, I will never forget
'Cause even though I didn't know you yet
We were bound together, then and forever
And I could never let you go

[Chorus]
Baby, I can't wait to know
What do you think about things?
Believe me, I will always be there, so
You can tell me anything and I'll listen

[Instrumental]

[Verse 2]
When we are together
There isn't anywhere that I would rather be
Three birds of a feather
I just hope you enjoy our company
It's been some time and though hard to define
As if the stars have started to align
We are bound together, now and forever
And I will never let you go

[Chorus]
Baby, I can't wait to know
What do you think about things?
Believe me, I will always be there, so
You can tell me anything and I'll listen

[Bridge]
I might even know what to say
But either way
At least I'll be
There!

[Chorus]
Baby, I can't wait to know
What do you think about things?
Believe me, I will always be there, so
You can tell me anything and I'll listen"
ZHU,Yours,javiercabrera9627,
Bon Iver,Holocene,1183037273,"[Verse 1]
""Someway, baby, it's part of me, apart from me""
You're laying waste to Halloween
You fucked it, friend, it's on its head, it struck the street
You're in Milwaukee, off your feet

[Pre-Chorus]
And at once, I knew
I was not magnificent

[Chorus]
Strayed above the highway aisle
Jagged vacance, thick with ice
I could see for miles, miles, miles

[Verse 2]
Third and Lake, it burnt away, the hallway
Was where we learned to celebrate
Automatic bought the years you'd talk for me
That night you played me ""Lip Parade""
Not the needle, nor the thread, the lost decree
Saying nothing, that's enough for me

[Pre-Chorus]
And at once, I knew
I was not magnificent

[Chorus]
Hulled far from the highway aisle
Jagged vacance, thick with ice
I could see for miles, miles, miles

[Verse 3]
Christmas night, it clutched the light, the hallow bright
Above my brother, I, and tangled spines
We smoked the screen to make it what it was to be
Now, to know it in my memory

[Pre-Chorus]
And at once, I knew
I was not magnificent

[Chorus]
High above the highway aisle
Jagged vacance, thick with ice
I could see for miles, miles, miles"
Al Green,Take Me to the River,11124266126,"[Verse 1]
I don't know why I love her like I do
All the changes you put me through
Take my money, my cigarettes
I haven't seen the worst of it yet

[Pre-Chorus]
I wanna know, can you tell me
Am I in love to stay?

[Chorus]
Take me to the river, drop me in the water
Take me to the river, dip me in the water
Washing me down, washing me down

[Verse 2]
I don't know why you treat me so bad
Think of all the things that we could have had
Love is a notion that I can't forget
My sweet sixteen I would never regret

[Pre-Chorus]
I wanna know, can you tell me?
Am I in love to stay?

[Chorus]
Take me to the river, drop me in the water
Push me in the river, dip me in the water
Washing me down, washing me
[Bridge]
Hug me, squeeze me, love me, tease me
Till I can't, till I can't, I can't take no more

[Chorus]
Dip me in the water, drop me in the river
Push me in the water, drop me in the river
Washing me down, washing me down

[Verse 3]
I don't know why I love her like I do
All the trouble you put me through
Sixteen candles there on my wall
And here am I, the biggest fool of them all

[Pre-Chorus]
I wanna know, can you tell me?
Am I in love to stay?

[Chorus]
Take me to the river, drop me in the water
Dip me in the river, drop me in the water
Washing me down, washing me down
Ooh, a-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya

[Outro]
Ooh, a na na na
A na na na na, ah!
A na na na, hoo!
A na na na, ooh!
A na na na na, hoo!
Ha! Na na na na, ah!
Na na na na na
Na na na na"
Bonobo,Grains,pecmusasana,"[Verse]
I'm that mothafuckin mane
With the silver mane
Game changed
Grain, on everything you see my face on I am not the same
I'm that level 11 mage, with no lock on my rage
I wanted to spread the meaning of life so I got it tatted on my
Face
I used to give a fuck about the love I was getting from bitches
Now I only smile when a bitch asphyxiating
I'm deaf to kids who criticize me but have a day job they hate
Bitch, go lay in traffic and wait for something to flatten your fuckin' face
I was broke and sad
Now I'm rich and sad
The discontent I have ain't got no price tag, ayy
Money don't mean shit, fuck all of the racks, ayy
Bitches treat me different now I'm over that, yeah
I never saw a demon till I met a label rep
I'm Blackmage till I die fuck all of the rest, yeah
I fell in love in Prague till I went to Budapest
I'm tryna see the earth then die, fuck retirement, yeah

[Outro]
On the way
To an early grave
Just like everyone I know but we cannot be saved, ayy
I'm the mage
King of sodomy
Open up the portal into Hades, then I'll leave, yeah
Don't you pray
For me, I believe
In a cause and effect universe, give and receive, ayy
Alchemy
Mental alchemy
Is the only way to live on the physical plane"
Bonobo,Kong/Ketto - Live,pecmusasana,
Calavera,No te das cuenta,soyungalgo,"[Letra de ""No Te Das Cuenta""]

[Verso 1]
Mira lo que has hecho otra vez
Te has equivocado otra vez
Y te has castigado otra vez
Pero no te das cuenta
No te das cuenta
Lo divertido que es

[Verso 2]
Mira lo que hicieron de ti
Otro ciervo más del redil
Mira lo que hiciste de mí ¿o es que no te das cuenta?
No te das cuenta..
Solo repites que...
Hoy te amenaza la realidad al otro extremo de tu alegría
Ya no es momento para intentar que el sueño dure toda la vida

[Estribillo]
Mira lo que has hecho otra vez
Mira lo que has hecho otra vez
Mira lo que has hecho otra vez
Mira lo que has hecho otra vez"
